Algorithm,Array Size,Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (microseconds)
Rubix Sort,10000,0,0,0,0,0,0,0,0,0,0,909.0909091
Rubix Sort Optimised ,10000,5863,4458,4455,3201,5643,2939,3067,2832,3348,3515,4483.727273
Bitwise Optimised Rubix Sort,10000,8224,6461,6667,4610,5080,4525,4654,4315,5236,5437,5928.090909
Bitwise Optimised Vector Rubix Sort,10000,8483,8349,6436,5540,5051,4420,4715,4242,5057,5343,6148.727273
Quick Sort,10000,3422,2609,2395,4314,3340,2006,2095,1920,2310,2281,3335.636364
Quick Sort Optimised,10000,286,234,206,404,183,168,175,161,195,191,1109.363636
Bubble Sort,10000,883716,608294,614119,673652,642985,603931,623917,606958,780763,612463,605527.0909
Bubble Sort Optimised ,10000,880213,625792,628557,602763,633644,624331,642149,632310,727949,643298,604636.9091
Bubble Comb Sort Optimised,10000,4506,2997,3131,3664,3177,2880,3023,2909,3972,3246,3955
Std Sort,10000,11628,7697,8106,9357,7899,7310,7610,7267,8672,7997,8503.909091
Insertion Sort,15000,606666,378912,376164,381180,370738,345161,361077,336431,454606,371082,363365.1818
Insertion Sort Optimised,15000,339672,283731,240308,231354,235853,244613,265374,218794,274468,234813,234907.2727
Shell Sort,15000,3301,2960,2295,2204,2407,2723,2401,2650,2552,2199,3699.272727
Shell Sort Optimised ,15000,4461,3678,3518,3489,3277,3542,3659,3492,3401,2965,4589.272727
Rubix Sort,15000,0,0,0,0,1,0,0,0,0,0,1363.727273
Rubix Sort Optimised ,15000,6681,5588,4709,4535,5019,4992,4582,5391,5119,4373,5999
Bitwise Optimised Rubix Sort,15000,9996,8138,7206,6828,7260,8127,7246,7592,7617,6705,8337.727273
Bitwise Optimised Vector Rubix Sort,15000,9914,7541,6875,6645,6901,7711,6878,7368,7688,6651,8106.545455
